Identifier,Return,Expected Return,Date
US83417M1045,-20.34,-20.30242573,8/31/2023
US8425871071,-4.44,-4.359992042,8/31/2023
US8447411088,-13.83,-13.68862096,8/31/2023
US8545021011,-10.68,-10.58403636,8/31/2023
US8552441094,-6.33,-6.307938265,8/31/2023
US8574771031,-1.59,-1.465361416,8/31/2023
US8581191009,0.99,1.041938145,8/31/2023
US8636671013,-3.36,-3.167484287,8/31/2023
US8716071076,0.02,0.219745948,8/31/2023
US87165B1035,-5.3,-5.123752686,8/31/2023
US8718291078,-5.17,-5.102403805,8/31/2023
US8725401090,-3.89,-3.690574727,8/31/2023
US8725901040,2.79,2.795905668,8/31/2023
US8740541094,-1.27,-1.197280579,8/31/2023
US8760301072,-12.77,-12.57147567,8/31/2023
US87612E1064,-12.63,-12.51944225,8/31/2023
US87612G1013,-0.61,-0.457116401,8/31/2023
US8793601050,-2.32,-2.300968568,8/31/2023
US8793691069,-7.68,-7.674266597,8/31/2023
US8807701029,-6.87,-6.714471616,8/31/2023
US88160R1014,-3.05,-2.881638211,8/31/2023
US8825081040,-5.38,-5.198983542,8/31/2023
US8832031012,0.58,0.682887601,8/31/2023
US8835561023,-9.08,-9.075168146,8/31/2023
US88579Y1010,-12.23,-12.12115681,8/31/2023
US8923561067,-7.07,-6.965483178,8/31/2023
US8936411003,-6.72,-6.540196206,8/31/2023
US89417E1091,1.92,1.971569791,8/31/2023
US8962391004,-1.7,-1.681797684,8/31/2023
US89832Q1094,-6.35,-6.175696653,8/31/2023
US9022521051,-3.08,-2.914203616,8/31/2023
US9024941034,-5.22,-5.16469948,8/31/2023
US9026531049,-10.6,-10.57735627,8/31/2023
US9029733048,-8.16,-8.012394763,8/31/2023
US90384S3031,-3.75,-3.712270462,8/31/2023
US9078181081,-7.68,-7.615205583,8/31/2023
US9100471096,-15.08,-14.90538771,8/31/2023
US9113121068,-7.99,-7.908816482,8/31/2023
US9113631090,-6.71,-6.684617573,8/31/2023
US91324P1021,6.21,6.396806321,8/31/2023
US9139031002,-6.66,-6.47877307,8/31/2023
US9182041080,-9.15,-8.972235088,8/31/2023
US91913Y1001,9.09,9.202579614,8/31/2023
US92276F1003,-2.52,-2.32601379,8/31/2023
US92343E1029,-2.53,-2.460893337,8/31/2023
US92343V1044,-7.35,-7.244590933,8/31/2023
US92345Y1064,-2.34,-2.328538214,8/31/2023
US92532F1003,-0.17,0.018247782,8/31/2023
US92556H2067,-14.2,-14.14786397,8/31/2023
US92556V1061,-8.28,-8.140733182,8/31/2023
US9256521090,-4.36,-4.323762427,8/31/2023
US92826C8394,-6.38,-6.331849677,8/31/2023
US9291601097,-7.44,-7.326983864,8/31/2023
US92939U1060,-4.24,-4.097481471,8/31/2023
US9297401088,-5.55,-5.389128391,8/31/2023
US9311421039,-1.65,-1.51149732,8/31/2023
US9314271084,-12.13,-12.08295696,8/31/2023
US9344231041,-17.35,-17.21497595,8/31/2023
US94106L1098,-2.33,-2.153606524,8/31/2023
US9418481035,-2.35,-2.320002257,8/31/2023
US9497461015,-1.04,-0.886402169,8/31/2023
US95040Q1040,-1.16,-1.047545334,8/31/2023
US9553061055,-7.79,-7.684371364,8/31/2023
US9581021055,1.4,1.506233226,8/31/2023
US96145D1054,9.45,9.482296167,8/31/2023
US9621661043,-6.38,-6.233435997,8/31/2023
US9633201069,-4.47,-4.313137868,8/31/2023
US9694571004,-1.14,-1.080411196,8/31/2023
US9831341071,-8.85,-8.773511837,8/31/2023
US98389B1008,1.05,1.14449711,8/31/2023
US98419M1009,-12.08,-11.89410996,8/31/2023
US9884981013,-3.43,-3.255577386,8/31/2023
US9892071054,-13.99,-13.80033474,8/31/2023
US98956P1021,-5.59,-5.428956794,8/31/2023
US9897011071,-1.72,-1.69143206,8/31/2023
US98978V1035,-8.68,-8.635846258,8/31/2023
AN8068571086,-4.53,-4.489729149,10/31/2023
BMG0450A1053,8.74,8.741135023,10/31/2023
BMG3223R1088,6.44,6.628814126,10/31/2023
BMG491BT1088,-10.67,-10.61971949,10/31/2023
BMG667211046,-17.48,-17.43587155,10/31/2023
CH0044328745,3.09,3.196705579,10/31/2023
CH0102993182,-4.6,-4.566168317,10/31/2023
CH0114405324,-2.54,-2.365763,10/31/2023
CH1300646267,-2.1,-2.086726892,10/31/2023
IE000S9YS762,2.63,2.65293087,10/31/2023
IE00B4BNMY34,-2.86,-2.840555887,10/31/2023
IE00B8KQN827,-2.52,-2.450081423,10/31/2023
IE00BDB6Q211,12.89,12.99365391,10/31/2023
IE00BFRT3W74,-5.6,-5.574422807,10/31/2023
IE00BFY8C754,-4.3,-4.182633951,10/31/2023
IE00BK9ZQ967,-6.21,-6.135886452,10/31/2023
IE00BKVD2N49,3.49,3.625300498,10/31/2023
IE00BLP1HW54,-4.38,-4.261386452,10/31/2023
IE00BLS09M33,-9.93,-9.823256608,10/31/2023
IE00BTN1Y115,-9.95,-9.77544513,10/31/2023
IE00BY7QL619,-7.87,-7.847405493,10/31/2023
JE00B783TY65,-11.55,-11.5462627,10/31/2023
JE00BJ1F3079,-2.95,-2.810096798,10/31/2023
LR0008862868,-8.04,-7.910575242,10/31/2023
NL0009434992,-4.71,-4.662659283,10/31/2023
NL0009538784,-13.75,-13.58900344,10/31/2023
PA1436583006,-16.47,-16.41129049,10/31/2023
US0010551028,1.77,1.913155106,10/31/2023
US00130H1059,-0.88,-0.785997126,10/31/2023
US00206R1023,4.5,4.555426523,10/31/2023
US0028241000,-1.82,-1.794062683,10/31/2023
US00287Y1091,-4.34,-4.143503272,10/31/2023
US00507V1098,0.84,0.890923431,10/31/2023
US00724F1012,4.35,4.500457792,10/31/2023
US0079031078,-4.2,-4.059004336,10/31/2023
US00846U1016,-7.37,-7.292920511,10/31/2023
US0090661010,-13.79,-13.61091457,10/31/2023
US0091581068,-0.34,-0.18129173,10/31/2023
US00971T1016,-3.01,-2.9049267,10/31/2023
US0116591092,-14.7,-14.69881525,10/31/2023
US0126531013,-25.44,-25.41409671,10/31/2023
US0152711091,-6.96,-6.907081324,10/31/2023
US0162551016,-39.54,-39.47547524,10/31/2023
US0188021085,1.64,1.790175166,10/31/2023
